school,year,conference
Arizona State,2013,pac-12
Arizona State,2014,pac-12
Arizona State,2015,pac-12
Arizona,1965,wac
Arizona,1966,wac
Arizona,1967,wac
Arizona,1968,wac
Arizona,1969,wac
Arizona,1970,wac
Arizona,1971,wac
Arizona,1972,wac
Arizona,1973,wac
Arizona,1974,wac
Arizona,1975,wac
Arizona,1976,wac
Arizona,1977,wac
Arizona,1978,pac-12
Arizona,1979,pac-12
Arizona,1980,pac-12
Arizona,1981,pac-12
Arizona,1982,pac-12
Arizona,1983,pac-12
Arizona,1984,pac-12
Arizona,1985,pac-12
Arizona,1986,pac-12
Arizona,1987,pac-12
Arizona,1988,pac-12
Arizona,1989,pac-12
Arizona,1990,pac-12
Arizona,1991,pac-12
Arizona,1992,pac-12
Arizona,1993,pac-12
Arizona,1994,pac-12
Arizona,1995,pac-12
Arizona,1996,pac-12
Arizona,1997,pac-12
Arizona,1998,pac-12
Arizona,1999,pac-12
Arizona,2000,pac-12
Arizona,2001,pac-12
Arizona,2002,pac-12
Arizona,2003,pac-12
Arizona,2004,pac-12
Arizona,2005,pac-12
Arizona,2006,pac-12
Arizona,2007,pac-12
Arizona,2008,pac-12
Arizona,2009,pac-12
Arizona,2010,pac-12
Arizona,2011,pac-12
Arizona,2012,pac-12
Arizona,2013,pac-12
Arizona,2014,pac-12
Arizona,2015,pac-12
Arkansas,1965,swc
Arkansas,1966,swc
Arkansas,1967,swc
Arkansas,1968,swc
Arkansas,1969,swc
Arkansas,1970,swc
Arkansas,1971,swc
Arkansas,1972,swc
Arkansas,1973,swc
Arkansas,1974,swc
Arkansas,1975,swc
Arkansas,1976,swc
Arkansas,1977,swc
Arkansas,1978,swc
Arkansas,1979,swc
Arkansas,1980,swc
Arkansas,1981,swc
Arkansas,1982,swc
Arkansas,1983,swc
Arkansas,1984,swc
Arkansas,1985,swc
Arkansas,1986,swc
Arkansas,1987,swc
Arkansas,1988,swc
Arkansas,1989,swc
Arkansas,1990,swc
Arkansas,1991,swc
Arkansas,1992,sec
Arkansas,1993,sec
Arkansas,1994,sec
Arkansas,1995,sec
Arkansas,1996,sec
Arkansas,1997,sec
Arkansas,1998,sec
Arkansas,1999,sec
Arkansas,2000,sec
Arkansas,2001,sec
Arkansas,2002,sec
Arkansas,2003,sec
Arkansas,2004,sec
Arkansas,2005,sec
Arkansas,2006,sec
Arkansas,2007,sec
Arkansas,2008,sec
Arkansas,2009,sec
Arkansas,2010,sec
Arkansas,2011,sec
Arkansas,2012,sec
Arkansas,2013,sec
Arkansas,2014,sec
Arkansas,2015,sec
Arkansas State,1965,none
Arkansas State,1966,none
Arkansas State,1967,none
Arkansas State,1968,none
Arkansas State,1969,none
Arkansas State,1970,none
Arkansas State,1971,none
Arkansas State,1972,none
Arkansas State,1973,none
Arkansas State,1974,independent
Arkansas State,1975,southland
Arkansas State,1976,southland
Arkansas State,1977,southland
Arkansas State,1978,southland
Arkansas State,1979,southland
Arkansas State,1980,southland
Arkansas State,1981,southland
Arkansas State,1982,none
Arkansas State,1983,none
Arkansas State,1984,none
Arkansas State,1985,none
Arkansas State,1986,none
Arkansas State,1987,none
Arkansas State,1988,none
Arkansas State,1989,none
Arkansas State,1990,independent
Arkansas State,1991,independent
Arkansas State,1992,independent
Arkansas State,1993,big-west
Arkansas State,1994,big-west
Arkansas State,1995,big-west
Arkansas State,1996,independent
Arkansas State,1997,independent
Arkansas State,1998,independent
Arkansas State,1999,big-west
Arkansas State,2000,big-west
Arkansas State,2001,sun-belt
Arkansas State,2002,sun-belt
Arkansas State,2003,sun-belt
Arkansas State,2004,sun-belt
Arkansas State,2005,sun-belt
Arkansas State,2006,sun-belt
Arkansas State,2007,sun-belt
Arkansas State,2008,sun-belt
Arkansas State,2009,sun-belt
Arkansas State,2010,sun-belt
Arkansas State,2011,sun-belt
Arkansas State,2012,sun-belt
Arkansas State,2013,sun-belt
Arkansas State,2014,sun-belt
Arkansas State,2015,sun-belt
Army,1965,independent
Army,1966,independent
Army,1967,independent
Army,1968,independent
Army,1969,independent
Army,1970,independent
Army,1971,independent
Army,1972,independent
Army,1973,independent
Army,1974,independent
Army,1975,independent
Army,1976,independent
Army,1977,independent
Army,1978,independent
Army,1979,independent
Army,1980,independent
Army,1981,independent
Army,1982,independent
Army,1983,independent
Army,1984,independent
Army,1985,independent
Army,1986,independent
Army,1987,independent
Army,1988,independent
Army,1989,independent
Army,1990,independent
Army,1991,independent
Army,1992,independent
Army,1993,independent
Army,1994,independent
Army,1995,independent
Army,1996,independent
Army,1997,independent
Army,1998,cusa
Army,1999,cusa
Army,2000,cusa
Army,2001,cusa
Army,2002,cusa
Army,2003,cusa
Army,2004,cusa
Army,2005,independent
Army,2006,independent
Army,2007,independent
Army,2008,independent
Army,2009,independent
Army,2010,independent
Army,2011,independent
Army,2012,independent
Army,2013,independent
Army,2014,independent
Army,2015,independent
Auburn,1965,sec
Auburn,1966,sec
Auburn,1967,sec
Auburn,1968,sec
Auburn,1969,sec
Auburn,1970,sec
Auburn,1971,sec
Auburn,1972,sec
Auburn,1973,sec
Auburn,1974,sec
Auburn,1975,sec
Auburn,1976,sec
Auburn,1977,sec
Auburn,1978,sec
Auburn,1979,sec
Auburn,1980,sec
Auburn,1981,sec
Auburn,1982,sec
Auburn,1983,sec
Auburn,1984,sec
Auburn,1985,sec
Auburn,1986,sec
Auburn,1987,sec
Auburn,1988,sec
Auburn,1989,sec
Auburn,1990,sec
Auburn,1991,sec
Auburn,1992,sec
Auburn,1993,sec
Auburn,1994,sec
Auburn,1995,sec
Auburn,1996,sec
Auburn,1997,sec
Auburn,1998,sec
Auburn,1999,sec
Auburn,2000,sec
Auburn,2001,sec
Auburn,2002,sec
Auburn,2003,sec
Auburn,2004,sec
Auburn,2005,sec
Auburn,2006,sec
Auburn,2007,sec
Auburn,2008,sec
Auburn,2009,sec
Auburn,2010,sec
Auburn,2011,sec
Auburn,2012,sec
Auburn,2013,sec
Auburn,2014,sec
Auburn,2015,sec
Ball State,1965,none
Ball State,1966,none
Ball State,1967,none
Ball State,1968,none
Ball State,1969,none
Ball State,1970,none
Ball State,1971,none
Ball State,1972,none
Ball State,1973,none
Ball State,1974,none
Ball State,1975,mac
Ball State,1976,mac
Ball State,1977,mac
Ball State,1978,mac
Ball State,1979,mac
Ball State,1980,mac
Ball State,1981,mac
Ball State,1982,mac
Ball State,1983,mac
Ball State,1984,mac
Ball State,1985,mac
Ball State,1986,mac
Ball State,1987,mac
Ball State,1988,mac
Ball State,1989,mac
Ball State,1990,mac
Ball State,1991,mac
Ball State,1992,mac
Ball State,1993,mac
Ball State,1994,mac
Ball State,1995,mac
Ball State,1996,mac
Ball State,1997,mac
Ball State,1998,mac
Ball State,1999,mac
Ball State,2000,mac
Ball State,2001,mac
Ball State,2002,mac
Ball State,2003,mac
Ball State,2004,mac
Ball State,2005,mac
Ball State,2006,mac
Ball State,2007,mac
Ball State,2008,mac
Ball State,2009,mac
Ball State,2010,mac
Ball State,2011,mac
Ball State,2012,mac
Ball State,2013,mac
Ball State,2014,mac
Ball State,2015,mac
Baylor,1965,swc
Baylor,1966,swc
Baylor,1967,swc
Baylor,1968,swc
Baylor,1969,swc
Baylor,1970,swc
Baylor,1971,swc
Baylor,1972,swc
Baylor,1973,swc
Baylor,1974,swc
Baylor,1975,swc
Baylor,1976,swc
Baylor,1977,swc
Baylor,1978,swc
Baylor,1979,swc
Baylor,1980,swc
Baylor,1981,swc
Baylor,1982,swc
Baylor,1983,swc
Baylor,1984,swc
Baylor,1985,swc
Baylor,1986,swc
Baylor,1987,swc
Baylor,1988,swc
Baylor,1989,swc
Baylor,1990,swc
Baylor,1991,swc
Baylor,1992,swc
Baylor,1993,swc
Baylor,1994,swc
Baylor,1995,swc
Baylor,1996,big-12
Baylor,1997,big-12
Baylor,1998,big-12
Baylor,1999,big-12
Baylor,2000,big-12
Baylor,2001,big-12
Baylor,2002,big-12
Baylor,2003,big-12
Baylor,2004,big-12
Baylor,2005,big-12
Baylor,2006,big-12
Baylor,2007,big-12
Baylor,2008,big-12
Baylor,2009,big-12
Baylor,2010,big-12
Baylor,2011,big-12
Baylor,2012,big-12
Baylor,2013,big-12
Baylor,2014,big-12
Baylor,2015,big-12
Boise State,1965,none
Boise State,1966,none
Boise State,1967,none
Boise State,1968,none
Boise State,1969,none
Boise State,1970,none
Boise State,1971,none
Boise State,1972,none
Boise State,1973,none
Boise State,1974,none
Boise State,1975,none
Boise State,1976,none
Boise State,1977,none
Boise State,1978,none
Boise State,1979,none
Boise State,1980,none
Boise State,1981,none
Boise State,1982,none
Boise State,1983,none
Boise State,1984,none
Boise State,1985,none
Boise State,1986,none
Boise State,1987,none
Boise State,1988,none
Boise State,1989,none
Boise State,1990,none
Boise State,1991,none
Boise State,1992,none
Boise State,1993,none
Boise State,1994,none
Boise State,1995,none
Boise State,1996,big-west
Boise State,1997,big-west
Boise State,1998,big-west
Boise State,1999,big-west
Boise State,2000,big-west
Boise State,2001,wac
Boise State,2002,wac
Boise State,2003,wac
Boise State,2004,wac
Boise State,2005,wac
Boise State,2006,wac
Boise State,2007,wac
Boise State,2008,wac
Boise State,2009,wac
Boise State,2010,wac
Boise State,2011,mwc
Boise State,2012,mwc
Boise State,2013,mwc
Boise State,2014,mwc
Boise State,2015,mwc
Boston College,1965,independent
Boston College,1966,independent
Boston College,1967,independent
Boston College,1968,independent
Boston College,1969,independent
Boston College,1970,independent
Boston College,1971,independent
Boston College,1972,independent
Boston College,1973,independent
Boston College,1974,independent
Boston College,1975,independent
Boston College,1976,independent
Boston College,1977,independent
Boston College,1978,independent
Boston College,1979,independent
Boston College,1980,independent
Boston College,1981,independent
Boston College,1982,independent
Boston College,1983,independent
Boston College,1984,independent
Boston College,1985,independent
Boston College,1986,independent
Boston College,1987,independent
Boston College,1988,independent
Boston College,1989,independent
Boston College,1990,independent
Boston College,1991,big-east
Boston College,1992,big-east
Boston College,1993,big-east
Boston College,1994,big-east
Boston College,1995,big-east
Boston College,1996,big-east
Boston College,1997,big-east
Boston College,1998,big-east
Boston College,1999,big-east
Boston College,2000,big-east
Boston College,2001,big-east
Boston College,2002,big-east
Boston College,2003,big-east
Boston College,2004,big-east
Boston College,2005,acc
Boston College,2006,acc
Boston College,2007,acc
Boston College,2008,acc
Boston College,2009,acc
Boston College,2010,acc
Boston College,2011,acc
Boston College,2012,acc
Boston College,2013,acc
Boston College,2014,acc
Boston College,2015,acc
Bowling Green,1965,mac
Bowling Green,1966,mac
Bowling Green,1967,mac
Bowling Green,1968,mac
Bowling Green,1969,mac
Bowling Green,1970,mac
Bowling Green,1971,mac
Bowling Green,1972,mac
Bowling Green,1973,mac
Bowling Green,1974,mac
Bowling Green,1975,mac
Bowling Green,1976,mac
Bowling Green,1977,mac
Bowling Green,1978,mac
Bowling Green,1979,mac
Bowling Green,1980,mac
Bowling Green,1981,mac
Bowling Green,1982,mac
Bowling Green,1983,mac
Bowling Green,1984,mac
Bowling Green,1985,mac
Bowling Green,1986,mac
Bowling Green,1987,mac
Bowling Green,1988,mac
Bowling Green,1989,mac
Bowling Green,1990,mac
Bowling Green,1991,mac
Bowling Green,1992,mac
Bowling Green,1993,mac
Bowling Green,1994,mac
Bowling Green,1995,mac
Bowling Green,1996,mac
Bowling Green,1997,mac
Bowling Green,1998,mac
Bowling Green,1999,mac
Bowling Green,2000,mac
Bowling Green,2001,mac
Bowling Green,2002,mac
Bowling Green,2003,mac
Bowling Green,2004,mac
Bowling Green,2005,mac
Bowling Green,2006,mac
Bowling Green,2007,mac
Bowling Green,2008,mac
Bowling Green,2009,mac
Bowling Green,2010,mac
Bowling Green,2011,mac
Bowling Green,2012,mac
Bowling Green,2013,mac
Bowling Green,2014,mac
Bowling Green,2015,mac
Brigham Young,1965,wac
Brigham Young,1966,wac
Brigham Young,1967,wac
Brigham Young,1968,wac
Brigham Young,1969,wac
Brigham Young,1970,wac
Brigham Young,1971,wac
Brigham Young,1972,wac
Brigham Young,1973,wac
Brigham Young,1974,wac
Brigham Young,1975,wac
Brigham Young,1976,wac
Brigham Young,1977,wac
Brigham Young,1978,wac
Brigham Young,1979,wac
Brigham Young,1980,wac
Brigham Young,1981,wac
Brigham Young,1982,wac
Brigham Young,1983,wac
Brigham Young,1984,wac
Brigham Young,1985,wac
Brigham Young,1986,wac
Brigham Young,1987,wac
Brigham Young,1988,wac
Brigham Young,1989,wac
Brigham Young,1990,wac
Brigham Young,1991,wac
Brigham Young,1992,wac
Brigham Young,1993,wac
Brigham Young,1994,wac
Brigham Young,1995,wac
Brigham Young,1996,wac
Brigham Young,1997,wac
Brigham Young,1998,wac
Brigham Young,1999,mwc
Brigham Young,2000,mwc
Brigham Young,2001,mwc
Brigham Young,2002,mwc
Brigham Young,2003,mwc
Brigham Young,2004,mwc
Brigham Young,2005,mwc
Brigham Young,2006,mwc
Brigham Young,2007,mwc
Brigham Young,2008,mwc
Brigham Young,2009,mwc
Brigham Young,2010,mwc
Brigham Young,2011,independent
Brigham Young,2012,independent
Brigham Young,2013,independent
Brigham Young,2014,independent
Brigham Young,2015,independent
Brown,1965,ivy
Brown,1966,ivy
Brown,1967,ivy
Brown,1968,ivy
Brown,1969,ivy
Brown,1970,ivy
Brown,1971,ivy
Brown,1972,ivy
Brown,1973,ivy
Brown,1974,ivy
Brown,1975,ivy
Brown,1976,ivy
Brown,1977,ivy
Brown,1978,ivy
Brown,1979,ivy
Brown,1980,ivy
Brown,1981,ivy
Brown,1982,none
Brown,1983,none
Brown,1984,none
Brown,1985,none
Brown,1986,none
Brown,1987,none
Brown,1988,none
Brown,1989,none
Brown,1990,none
Brown,1991,none
Brown,1992,none
Brown,1993,none
Brown,1994,none
Brown,1995,none
Brown,1996,none
Brown,1997,none
Brown,1998,none
Brown,1999,none
Brown,2000,none
Brown,2001,none
Brown,2002,none
Brown,2003,none
Brown,2004,none
Brown,2005,none
Brown,2006,none
Brown,2007,none
Brown,2008,none
Brown,2009,none
Brown,2010,none
Brown,2011,none
Brown,2012,none
Brown,2013,none
Brown,2014,none
Brown,2015,none
Buffalo,1965,independent
Buffalo,1966,independent
Buffalo,1967,independent
Buffalo,1968,independent
Buffalo,1969,independent
Buffalo,1970,independent
Buffalo,1971,none
Buffalo,1972,none
Buffalo,1973,none
Buffalo,1974,none
Buffalo,1975,none
Buffalo,1976,none
Buffalo,1977,none
Buffalo,1978,none
Buffalo,1979,none
Buffalo,1980,none
Buffalo,1981,none
Buffalo,1982,none
Buffalo,1983,none
Buffalo,1984,none
Buffalo,1985,none
Buffalo,1986,none
Buffalo,1987,none
Buffalo,1988,none
Buffalo,1989,none
Buffalo,1990,none
Buffalo,1991,none
Buffalo,1992,none
Buffalo,1993,none
Buffalo,1994,none
Buffalo,1995,none
Buffalo,1996,none
Buffalo,1997,none
Buffalo,1998,none
Buffalo,1999,mac
Buffalo,2000,mac
Buffalo,2001,mac
Buffalo,2002,mac
Buffalo,2003,mac
Buffalo,2004,mac
Buffalo,2005,mac
Buffalo,2006,mac
Buffalo,2007,mac
Buffalo,2008,mac
Buffalo,2009,mac
Buffalo,2010,mac
Buffalo,2011,mac
Buffalo,2012,mac
Buffalo,2013,mac
Buffalo,2014,mac
Buffalo,2015,mac
Cal State Fullerton,1965,none
Cal State Fullerton,1966,none
Cal State Fullerton,1967,none
Cal State Fullerton,1968,none
Cal State Fullerton,1969,none
Cal State Fullerton,1970,none
Cal State Fullerton,1971,none
Cal State Fullerton,1972,none
Cal State Fullerton,1973,none
Cal State Fullerton,1974,none
Cal State Fullerton,1975,big-west
Cal State Fullerton,1976,big-west
Cal State Fullerton,1977,big-west
Cal State Fullerton,1978,big-west
Cal State Fullerton,1979,big-west
Cal State Fullerton,1980,big-west
Cal State Fullerton,1981,big-west
Cal State Fullerton,1982,big-west
Cal State Fullerton,1983,big-west
Cal State Fullerton,1984,big-west
Cal State Fullerton,1985,big-west
Cal State Fullerton,1986,big-west
Cal State Fullerton,1987,big-west
Cal State Fullerton,1988,big-west
Cal State Fullerton,1989,big-west
Cal State Fullerton,1990,big-west
Cal State Fullerton,1991,big-west
Cal State Fullerton,1992,big-west
Cal State Fullerton,1993,none
Cal State Fullerton,1994,none
Cal State Fullerton,1995,none
Cal State Fullerton,1996,none
Cal State Fullerton,1997,none
Cal State Fullerton,1998,none
Cal State Fullerton,1999,none
Cal State Fullerton,2000,none
Cal State Fullerton,2001,none
Cal State Fullerton,2002,none
Cal State Fullerton,2003,none
Cal State Fullerton,2004,none
Cal State Fullerton,2005,none
Cal State Fullerton,2006,none
Cal State Fullerton,2007,none
Cal State Fullerton,2008,none
Cal State Fullerton,2009,none
Cal State Fullerton,2010,none
Cal State Fullerton,2011,none
Cal State Fullerton,2012,none
Cal State Fullerton,2013,none
Cal State Fullerton,2014,none
Cal State Fullerton,2015,none
Cal State Los Angeles,1965,none
Cal State Los Angeles,1966,none
Cal State Los Angeles,1967,none
Cal State Los Angeles,1968,none
Cal State Los Angeles,1969,big-west
Cal State Los Angeles,1970,big-west
Cal State Los Angeles,1971,big-west
Cal State Los Angeles,1972,none
Cal State Los Angeles,1973,none
Cal State Los Angeles,1974,none
Cal State Los Angeles,1975,none
Cal State Los Angeles,1976,none
Cal State Los Angeles,1977,none
Cal State Los Angeles,1978,none
Cal State Los Angeles,1979,none
Cal State Los Angeles,1980,none
Cal State Los Angeles,1981,none
Cal State Los Angeles,1982,none
Cal State Los Angeles,1983,none
Cal State Los Angeles,1984,none
Cal State Los Angeles,1985,none
Cal State Los Angeles,1986,none
Cal State Los Angeles,1987,none
Cal State Los Angeles,1988,none
Cal State Los Angeles,1989,none
Cal State Los Angeles,1990,none
Cal State Los Angeles,1991,none
Cal State Los Angeles,1992,none
Cal State Los Angeles,1993,none
Cal State Los Angeles,1994,none
Cal State Los Angeles,1995,none
Cal State Los Angeles,1996,none
Cal State Los Angeles,1997,none
Cal State Los Angeles,1998,none
Cal State Los Angeles,1999,none
Cal State Los Angeles,2000,none
Cal State Los Angeles,2001,none
Cal State Los Angeles,2002,none
Cal State Los Angeles,2003,none
Cal State Los Angeles,2004,none
Cal State Los Angeles,2005,none
Cal State Los Angeles,2006,none
Cal State Los Angeles,2007,none
Cal State Los Angeles,2008,none
Cal State Los Angeles,2009,none
Cal State Los Angeles,2010,none
Cal State Los Angeles,2011,none
Cal State Los Angeles,2012,none
Cal State Los Angeles,2013,none
Cal State Los Angeles,2014,none
Cal State Los Angeles,2015,none
California,1965,pac-12
California,1966,pac-12
California,1967,pac-12
California,1968,pac-12
California,1969,pac-12
California,1970,pac-12
California,1971,pac-12
California,1972,pac-12
California,1973,pac-12
California,1974,pac-12
California,1975,pac-12
California,1976,pac-12
California,1977,pac-12
California,1978,pac-12
California,1979,pac-12
California,1980,pac-12
California,1981,pac-12
California,1982,pac-12
California,1983,pac-12
California,1984,pac-12
California,1985,pac-12
California,1986,pac-12
California,1987,pac-12
California,1988,pac-12
California,1989,pac-12
California,1990,pac-12
California,1991,pac-12
California,1992,pac-12
California,1993,pac-12
California,1994,pac-12
California,1995,pac-12
California,1996,pac-12
California,1997,pac-12
California,1998,pac-12
California,1999,pac-12
California,2000,pac-12
California,2001,pac-12
California,2002,pac-12
California,2003,pac-12
California,2004,pac-12
California,2005,pac-12
California,2006,pac-12
California,2007,pac-12
California,2008,pac-12
California,2009,pac-12
California,2010,pac-12
California,2011,pac-12
California,2012,pac-12
California,2013,pac-12
California,2014,pac-12
California,2015,pac-12
California-Santa Barbara,1965,none
California-Santa Barbara,1966,none
California-Santa Barbara,1967,none
California-Santa Barbara,1968,none
California-Santa Barbara,1969,big-west
California-Santa Barbara,1970,big-west
California-Santa Barbara,1971,big-west
California-Santa Barbara,1972,none
California-Santa Barbara,1973,none
California-Santa Barbara,1974,none
California-Santa Barbara,1975,none
California-Santa Barbara,1976,none
California-Santa Barbara,1977,none
California-Santa Barbara,1978,none
California-Santa Barbara,1979,none
California-Santa Barbara,1980,none
California-Santa Barbara,1981,none
California-Santa Barbara,1982,none
California-Santa Barbara,1983,none
California-Santa Barbara,1984,none
California-Santa Barbara,1985,none
California-Santa Barbara,1986,none
California-Santa Barbara,1987,none
California-Santa Barbara,1988,none
California-Santa Barbara,1989,none
California-Santa Barbara,1990,none
California-Santa Barbara,1991,none
